artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
The Front Bottoms,1.73210334778,1.6403470635350001,2.178001582625,2.27260184288,TRUE,FALSE,FALSE,Within Range,hpcp_entropy
All Get Out,12.4139871597,11.040133714624996,14.741975545925001,17.4712200165,TRUE,FALSE,FALSE,Within Range,hpcp_crest
Manchester Orchestra,12.4618787766,10.45679664615,16.44649124145,20.6618213654,TRUE,FALSE,FALSE,Within Range,hpcp_crest
The Front Bottoms,11.8826761246,11.247810363800001,14.604631423999999,16.3069324493,TRUE,FALSE,FALSE,Within Range,hpcp_crest
All Get Out,0.468893408775,0.46559043228525016,0.5478439480072499,0.588355660439,TRUE,FALSE,TRUE,Unusual,chords_strength
Manchester Orchestra,0.482837587595,0.44895303249400015,0.5830026865,0.620255112648,TRUE,FALSE,TRUE,Unusual,chords_strength
The Front Bottoms,0.477276712656,0.45639869570700003,0.545854479075,0.566394746304,TRUE,TRUE,TRUE,Out of Range,chords_strength
All Get Out,0.00115096871741,6.607865943799999e-4,0.0027538706635849997,0.0036712794099,TRUE,FALSE,FALSE,Within Range,chords_number_rate
Manchester Orchestra,7.48262973502e-4,3.755115902999992e-5,0.00277187605389,0.00498414132744,TRUE,FALSE,FALSE,Within Range,chords_number_rate
The Front Bottoms,0.00139977608342,5.983532173650004e-4,0.003257440053855,0.00455753877759,TRUE,FALSE,FALSE,Within Range,chords_number_rate
All Get Out,0.0219119228423,0.02531882468607499,0.066945116035625,0.0860144421458,TRUE,FALSE,FALSE,Within Range,chords_changes_rate
Manchester Orchestra,0.0223509930074,0.016778510063900007,0.0598172359169,0.0721295401454,TRUE,FALSE,FALSE,Within Range,chords_changes_rate
The Front Bottoms,0.0344478227198,0.0296962708236,0.0736389905214,0.0838517025113,TRUE,FALSE,FALSE,Within Range,chords_changes_rate
All Get Out,-9.678598e-4,-0.009277585624999973,0.08614409912499998,0.14350879,TRUE,FALSE,FALSE,Within Range,approachability
Manchester Orchestra,-0.0044495934,-0.05278077999999999,0.16642874,0.2351666,TRUE,FALSE,FALSE,Within Range,approachability
The Front Bottoms,-0.016932858,0.010555719999999984,0.13550572,0.28955665,TRUE,FALSE,FALSE,Within Range,approachability
All Get Out,0.27381968,0.24312424500000004,0.463034925,0.6653815,TRUE,FALSE,TRUE,Unusual,engagement
Manchester Orchestra,0.18881226,0.111262695,0.530431965,0.7144117,TRUE,FALSE,TRUE,Unusual,engagement
The Front Bottoms,0.13806485,0.19409023499999997,0.538125825,0.6576917,TRUE,FALSE,TRUE,Unusual,engagement
All Get Out,3.9010249,3.966275883333334,4.620988283333333,4.697101666666666,TRUE,FALSE,FALSE,Within Range,valence
Manchester Orchestra,3.7054885,3.579586150000001,4.61921145,4.6476009,TRUE,FALSE,FALSE,Within Range,valence
The Front Bottoms,4.123668533333333,4.183203766666667,4.655678366666667,4.7954602,TRUE,TRUE,TRUE,Out of Range,valence
All Get Out,3.804857933333333,3.7562538708333335,4.449659895833333,4.452255466666666,TRUE,FALSE,FALSE,Within Range,arousal
Manchester Orchestra,3.6464782,3.5298911333333334,4.297124133333334,4.447084133333333,TRUE,FALSE,FALSE,Within Range,arousal
The Front Bottoms,3.878224833333333,3.9821808500000007,4.30901055,4.4429674,TRUE,FALSE,FALSE,Within Range,arousal
All Get Out,0.30937332,0.5210545075000002,0.8061226074999999,0.87926872,TRUE,FALSE,FALSE,Within Range,model_danceability
Manchester Orchestra,0.0439175785,-0.08831955999999996,0.89882423,0.8831308250000001,TRUE,FALSE,FALSE,Within Range,model_danceability
The Front Bottoms,0.28467713499999997,0.40431443999999983,0.8455981800000001,0.869214435,TRUE,FALSE,FALSE,Within Range,model_danceability
